"name","basis","date","institutionID","collectionCode","collectionID","country","county","state","locality","Latitude","Longitude","ID","coordinateUncertaintyInMeters","informationWithheld","habitat","prov","spocc.latitude","spocc.longitude","spocc.prov","spocc.date","spocc.name"
"shortia galacifolia","PreservedSpecimen",NA,NA,NA,"024f44f2-a2f5-4daa-b306-c11efb5aa4d0","united states",NA,"south carolina",NA,NA,NA,"00837767-f0ac-4ad3-a9a5-19f852a64b39",NA,NA,NA,"idigbio",NA,NA,"idigbio",NA,"shortia galacifolia"
"shortia galacifolia","PreservedSpecimen","1975-00-00",NA,"botany","a3883acd-bc7d-40f2-a6e4-372a3435e5d1","united states","macon","north carolina","Highlands Biological Station, Highlands",NA,NA,"01248009-632b-4a8d-a103-ad02a4877be8",NA,NA,"cultivated on grounds","idigbio",NA,NA,"idigbio",NA,"shortia galacifolia"
"shortia galacifolia","PreservedSpecimen",NA,NA,NA,"urn:lsid:biocol.org:col:15610","united states","unspecified county","south carolina",NA,NA,NA,"017d98b4-292f-4e80-9166-d620dd46c538",NA,"field values redacted: locality",NA,"idigbio",NA,NA,"idigbio",NA,"shortia galacifolia"
"shortia galacifolia","PreservedSpecimen",NA,NA,NA,"b01784c6-c5d7-11e4-b6af-00163e00498d","united states","pickens","south carolina",NA,NA,NA,"023a0aeb-bd03-45e1-880a-35fdaa1dc5c2",NA,"field values redacted: eventDate, month, day, startDayOfYear, recordNumber, locality, habitat",NA,"idigbio",NA,NA,"idigbio",1995-08-08,"shortia galacifolia"
"shortia galacifolia","PreservedSpecimen",NA,NA,NA,"5082277f-dd49-4b22-9e2d-746d2fb233b4","united states",NA,"north carolina",NA,NA,NA,"048907d3-06a5-4046-a035-e094b5576b6c",NA,NA,NA,"idigbio",NA,NA,"idigbio",NA,"shortia galacifolia"
"shortia galacifolia","PreservedSpecimen",NA,NA,NA,"565b6f19-288f-4614-a4c9-b09448e96547","united states",NA,"north carolina",NA,NA,NA,"04c58b44-1534-41f3-a36c-17c99c439cce",NA,NA,NA,"idigbio",NA,NA,"idigbio",NA,"shortia galacifolia"
"shortia galacifolia","PreservedSpecimen",NA,NA,NA,"9a26bc5f-b8ef-4fa8-b7e8-b8341e2e7823","united states","oconee","south carolina",NA,NA,NA,"04d722c7-0af7-4497-a292-2394b2d6c258",NA,NA,NA,"idigbio",NA,NA,"idigbio",NA,"shortia galacifolia"
"shortia galacifolia","PreservedSpecimen","1938-03-13",NA,NA,"17f2d0fa-39a6-4465-8055-1d6fc12eeda2","united states","orange","north carolina","stream near Tin Can, U.N.C. [University of North Carolina at Chapel Hill] Campus",35.910144,-79.048622,"0570d2d8-eea9-49a9-a25a-e0644cc3bb13","1933",NA,NA,"idigbio",NA,NA,NA,NA,NA
"shortia galacifolia","PreservedSpecimen",NA,NA,NA,"81b5c57b-5f26-423f-93b6-d4dc434fe707","united states","pickens","south carolina",NA,NA,NA,"08b4930b-b4e3-423f-9b85-2f3f5b87eaf1",NA,"field values redacted: eventDate, month, day, startDayOfYear, locality",NA,"idigbio",NA,NA,"idigbio",1931-11-08,"shortia galacifolia"
"shortia galacifolia","PreservedSpecimen",NA,NA,NA,"399ae62c-8b07-4491-8463-97561a05828b","united states","oconee","south carolina",NA,NA,NA,"09119127-051c-4a15-8b22-de481b7154ae",NA,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, recordNumber, locality, minimumElevationInMeters, verbatimElevation, habitat",NA,"idigbio",NA,NA,"idigbio",1967-11-08,"shortia galacifolia"
"shortia galacifolia","PreservedSpecimen",NA,NA,NA,"c31f7b34-ad1c-4b15-828e-b44954d2f567","united states","macon","north carolina",NA,NA,NA,"0b177f92-6289-4ecd-926c-cf000a673f0d",NA,NA,NA,"idigbio",NA,NA,"idigbio",NA,"shortia galacifolia"
"shortia galacifolia","PreservedSpecimen",NA,NA,NA,"17f2d0fa-39a6-4465-8055-1d6fc12eeda2","united states","oconee","south carolina",NA,NA,NA,"0b2011b8-af76-4a53-a30e-83868880058b",NA,"field values redacted: eventDate, month, day, startDayOfYear, recordNumber, locality",NA,"idigbio",NA,NA,"idigbio",1967-11-08,"shortia galacifolia"
"shortia galacifolia","PreservedSpecimen",NA,NA,NA,"274b5332-1247-4374-b124-c819b814cd6e","united states","oconee","south carolina",NA,NA,NA,"0b763fee-e3e6-4a57-9eab-5f8a2417d30d",NA,NA,NA,"idigbio",NA,NA,"idigbio",NA,"shortia galacifolia"
"shortia galacifolia","PreservedSpecimen",NA,NA,NA,"565b6f19-288f-4614-a4c9-b09448e96547","united states","macon","north carolina",NA,NA,NA,"0d6ed1ed-511c-4887-ac7e-ffdaa8cb67fb",NA,NA,NA,"idigbio",NA,NA,"idigbio",NA,"shortia galacifolia"
"shortia galacifolia","PreservedSpecimen","1987-03-23",NA,NA,"17f2d0fa-39a6-4465-8055-1d6fc12eeda2","united states","orange","north carolina","Mountain habitat. N.C. Botanical Garden",35.898657,-79.033557,"0f73ef93-0125-4195-b8a3-c61d59446bb3","54",NA,NA,"idigbio",NA,NA,NA,NA,NA
"shortia galacifolia","PreservedSpecimen",NA,NA,NA,"024f44f2-a2f5-4daa-b306-c11efb5aa4d0","united states","oconee","south carolina",NA,NA,NA,"0f79c282-7df3-41e2-ac5f-e2348f701b46",NA,NA,NA,"idigbio",NA,NA,"idigbio",NA,"shortia galacifolia"
"shortia galacifolia","PreservedSpecimen","1909-05-21",NA,NA,"17f2d0fa-39a6-4465-8055-1d6fc12eeda2","united states","buncombe","north carolina","The New York Botanical Garden. Plants of Biltmore, North Carolina.",NA,NA,"0ff03b9a-6a98-46e1-8904-41407a80536b",NA,NA,NA,"idigbio",NA,NA,"idigbio",1909-05-21,"shortia galacifolia"
"shortia galacifolia","PreservedSpecimen",NA,NA,NA,"1d328472-3b59-43d8-834c-385410415424","united states","oconee","south carolina",NA,NA,NA,"1012a444-fc97-4c13-8a6e-3682eebd61a4",NA,NA,NA,"idigbio",NA,NA,"idigbio",NA,"shortia galacifolia"
"shortia galacifolia","PreservedSpecimen",NA,"http://biocol.org/urn:lsid:biocol.org:col:34871","botany",NA,"united states","mcdowell","north carolina",NA,NA,NA,"1038e691-ce6b-4241-870d-9220f6c209bd",NA,NA,NA,"idigbio",NA,NA,"idigbio",1879-04-01,"shortia galacifolia"
"shortia galacifolia","PreservedSpecimen","1963-04-17",NA,NA,"17f2d0fa-39a6-4465-8055-1d6fc12eeda2","united states","nassau","new york","Cultivated New York, Nassau County, Sands Point, Creem property",NA,NA,"1170b4ec-4fea-408a-bf0f-16406e503ce8",NA,NA,NA,"idigbio",NA,NA,"idigbio",1963-04-17,"shortia galacifolia"
"shortia galacifolia","PreservedSpecimen","2003-04-13","urn:lsid:biocol.org:col:15638","herb",NA,"united states","oconee co.","south carolina",NA,NA,NA,"137f2a53-0652-4c99-8974-1d01ff3a9f54",NA,NA,"Wet-mesic forest dominated by understory of Rhododendron maximum, overstory of Quercus alba, Pinus strobus; humus over clay-loam, weathered decomposed gneissic granite bedrock, very acidic; side drainage, cove-like.","idigbio",NA,NA,"idigbio",2003-04-13,"shortia galacifolia"
"shortia galacifolia","PreservedSpecimen","1942-07-17",NA,NA,"17f2d0fa-39a6-4465-8055-1d6fc12eeda2","united states","mcdowell","north carolina","On Joe McNulty's road below Fish Hatchery on both sides of stream beginning at road. This is the first branch crossed on McNulty's road from Fish Hatchery road. Shortia comes to the road here on both sides and can be pcked from the road on the up side, and goes up and down for hundreds of yards. Mr. Townsend says at least 1/2 mi. up - has never followed it far down.",NA,NA,"13a83c6b-988c-4b5b-8e94-7ecbe4a98369",NA,NA,NA,"idigbio",NA,NA,"idigbio",1942-07-17,"shortia galacifolia"
"shortia galacifolia","PreservedSpecimen",NA,NA,NA,"urn:lsid:biocol.org:col:15610","united states","oconee county","south carolina",NA,NA,NA,"13f56a06-0970-4350-8f9b-d6ef4307e63c",NA,"field values redacted: locality",NA,"idigbio",NA,NA,"idigbio",NA,"shortia galacifolia"
"shortia galacifolia","PreservedSpecimen",NA,NA,NA,"2bed6ae5-afde-45bb-95a9-c4918414f02d","united states","oconee","south carolina",NA,NA,NA,"14076473-354a-4f71-b76d-d2fd2636992a",NA,NA,NA,"idigbio",NA,NA,"idigbio",NA,"shortia galacifolia"
"shortia galacifolia","PreservedSpecimen",NA,NA,"general collection","7a60dbb2-41cf-44ce-83de-5cf6f5a942ae","united states","oconee county","south carolina",NA,NA,NA,"141a7d6d-09cb-4823-bb01-42f14e0103b9",NA,"field values redacted: eventDate, month, day, startDayOfYear, recordNumber, locality, habitat",NA,"idigbio",NA,NA,"idigbio",1950-11-08,"shortia galacifolia"
"shortia galacifolia","PreservedSpecimen",NA,NA,NA,"cfd6931e-0927-438e-9ab0-b6eb30bcbaa7","united states","oconee","south carolina",NA,NA,NA,"146e5f41-49e9-4a3c-9858-e6b3fb460244",NA,NA,NA,"idigbio",NA,NA,"idigbio",NA,"shortia galacifolia"
"shortia galacifolia","PreservedSpecimen",NA,NA,NA,"81b5c57b-5f26-423f-93b6-d4dc434fe707","united states","pickens","south carolina",NA,NA,NA,"15391053-7f97-495c-bcd7-7398cab1b7c5",NA,"field values redacted: eventDate, month, day, startDayOfYear, recordNumber, locality",NA,"idigbio",NA,NA,"idigbio",1986-11-08,"shortia galacifolia"
"shortia galacifolia","PreservedSpecimen",NA,NA,NA,"81b5c57b-5f26-423f-93b6-d4dc434fe707","united states","pickens","south carolina",NA,NA,NA,"157b5f7c-1e67-4d39-9934-cddf457bb423",NA,"field values redacted: eventDate, month, day, startDayOfYear, recordNumber, locality",NA,"idigbio",NA,NA,"idigbio",1978-11-08,"shortia galacifolia"
"shortia galacifolia","PreservedSpecimen",NA,"http://biocol.org/urn:lsid:biocol.org:col:34871","botany",NA,"united states",NA,"north carolina",NA,NA,NA,"160e2ac1-452d-4238-a5b2-5dda659f1fad",NA,NA,NA,"idigbio",NA,NA,"idigbio",1951-06-04,"shortia galacifolia"
"shortia galacifolia","PreservedSpecimen",NA,NA,NA,"81b5c57b-5f26-423f-93b6-d4dc434fe707","united states","pickens","south carolina",NA,NA,NA,"1629a68c-857e-47bf-a00f-69797c70377f",NA,"field values redacted: eventDate, month, day, startDayOfYear, recordNumber, locality, habitat",NA,"idigbio",NA,NA,"idigbio",1998-11-08,"shortia galacifolia"
"shortia galacifolia","PreservedSpecimen",NA,NA,NA,"81b5c57b-5f26-423f-93b6-d4dc434fe707","united states","pickens","south carolina",NA,NA,NA,"17947776-eb9d-42e5-b3e5-633ad7c9e149",NA,"field values redacted: eventDate, month, day, startDayOfYear, recordNumber, locality",NA,"idigbio",NA,NA,"idigbio",1985-11-08,"shortia galacifolia"
"shortia galacifolia","PreservedSpecimen",NA,NA,NA,"81b5c57b-5f26-423f-93b6-d4dc434fe707","united states","oconee","south carolina",NA,NA,NA,"18b9d374-3615-4af7-a7a4-86b2a3cf1297",NA,"field values redacted: eventDate, month, day, startDayOfYear, recordNumber, locality",NA,"idigbio",NA,NA,"idigbio",1969-11-08,"shortia galacifolia"
"shortia galacifolia","PreservedSpecimen",NA,NA,NA,"274b5332-1247-4374-b124-c819b814cd6e","united states","mcdowell","north carolina",NA,NA,NA,"1ccd2202-3bef-460f-b28e-ac0079cfb85a",NA,NA,NA,"idigbio",NA,NA,"idigbio",NA,"shortia galacifolia"
"shortia galacifolia","PreservedSpecimen",NA,"http://biocol.org/urn:lsid:biocol.org:col:34871","botany",NA,"united states","oconee","south carolina",NA,NA,NA,"1e63154b-eb5d-4b6f-b11b-3c6d4ac5bc96",NA,NA,NA,"idigbio",NA,NA,"idigbio",1959-07-17,"shortia galacifolia"
"shortia galacifolia","PreservedSpecimen",NA,NA,NA,"17f2d0fa-39a6-4465-8055-1d6fc12eeda2","united states","oconee","south carolina",NA,NA,NA,"1e787942-d8fe-4723-a85a-0ac2e8e3aa0b",NA,"field values redacted: eventDate, month, day, startDayOfYear, recordNumber, locality",NA,"idigbio",NA,NA,"idigbio",1937-11-08,"shortia galacifolia"
"shortia galacifolia","PreservedSpecimen",NA,NA,NA,"d77760fa-0a9d-469a-a49f-6c8d519dadc6","united states","polk","tennessee",NA,NA,NA,"1eb79421-026d-4aeb-bdb5-5960e272b144",NA,NA,NA,"idigbio",NA,NA,"idigbio",NA,"shortia galacifolia"
"shortia galacifolia","PreservedSpecimen",NA,NA,NA,"9a26bc5f-b8ef-4fa8-b7e8-b8341e2e7823","united states","spartanburg","south carolina",NA,NA,NA,"1f3ff4cd-e7ff-4cba-97f7-6df9a736d579",NA,NA,NA,"idigbio",NA,NA,"idigbio",NA,"shortia galacifolia"
"shortia galacifolia","PreservedSpecimen",NA,NA,NA,"urn:lsid:biocol.org:col:15610","united states","clay county","north carolina","Clay County, NC",NA,NA,"1f4099d9-02e6-4c0f-8583-bd1a462281c1",NA,NA,NA,"idigbio",NA,NA,"idigbio",NA,"shortia galacifolia"
"shortia galacifolia","PreservedSpecimen",NA,NA,NA,"81b5c57b-5f26-423f-93b6-d4dc434fe707","united states","pickens","south carolina",NA,NA,NA,"237e54e0-d685-4434-8bb2-ac41306e7757",NA,"field values redacted: eventDate, month, day, startDayOfYear, recordNumber, locality",NA,"idigbio",NA,NA,"idigbio",1984-11-08,"shortia galacifolia"
"shortia galacifolia","PreservedSpecimen",NA,NA,NA,"024f44f2-a2f5-4daa-b306-c11efb5aa4d0","united states","oconee","south carolina",NA,NA,NA,"24134cbf-f62f-446b-ae1a-4b6d43fe59a0",NA,NA,NA,"idigbio",NA,NA,"idigbio",NA,"shortia galacifolia"
"shortia galacifolia","PreservedSpecimen",NA,NA,NA,"81b5c57b-5f26-423f-93b6-d4dc434fe707","united states","oconee","south carolina",NA,NA,NA,"2483b336-417c-4867-ad97-6bcae91c93b6",NA,"field values redacted: eventDate, month, day, startDayOfYear, locality, habitat",NA,"idigbio",NA,NA,"idigbio",1997-11-08,"shortia galacifolia"
"shortia galacifolia","PreservedSpecimen",NA,NA,NA,"81b5c57b-5f26-423f-93b6-d4dc434fe707","united states","oconee","south carolina",NA,NA,NA,"26c56835-d9f4-4d4f-a36c-2a7f353a2e0a",NA,"field values redacted: eventDate, month, day, startDayOfYear, recordNumber, locality",NA,"idigbio",NA,NA,"idigbio",1986-11-08,"shortia galacifolia"
"shortia galacifolia","PreservedSpecimen",NA,"http://biocol.org/urn:lsid:biocol.org:col:34871","botany",NA,"united states",NA,"north carolina",NA,NA,NA,"2834ab27-2c52-4af5-ad11-e3888d6aab10",NA,NA,NA,"idigbio",NA,NA,"idigbio",NA,"shortia galacifolia"
"shortia galacifolia","PreservedSpecimen",NA,NA,NA,"f63f109a-4ec2-4bc6-ad49-823077d64337","united states","oconee","south carolina",NA,NA,NA,"298583f2-aeed-4fb5-ae27-7054ee7c7fc8",NA,NA,NA,"idigbio",NA,NA,"idigbio",NA,"shortia galacifolia"
"shortia galacifolia","PreservedSpecimen",NA,NA,NA,"274b5332-1247-4374-b124-c819b814cd6e","united states","macon","north carolina",NA,NA,NA,"29e98f98-8e0f-4b23-9bb6-9381120b9a6f",NA,NA,NA,"idigbio",NA,NA,"idigbio",NA,"shortia galacifolia"
"shortia galacifolia","PreservedSpecimen",NA,NA,NA,"565b6f19-288f-4614-a4c9-b09448e96547","united states",NA,"north carolina",NA,NA,NA,"29fc30de-dc1c-4210-9398-e5e400dd8132",NA,NA,NA,"idigbio",NA,NA,"idigbio",NA,"shortia galacifolia"
"shortia galacifolia","PreservedSpecimen",NA,NA,NA,"2bed6ae5-afde-45bb-95a9-c4918414f02d","united states","oconee","south carolina",NA,NA,NA,"2a10dbce-6c42-447b-8e7f-83a3b0298899",NA,NA,NA,"idigbio",NA,NA,"idigbio",NA,"shortia galacifolia"
"shortia galacifolia","PreservedSpecimen",NA,NA,NA,"274b5332-1247-4374-b124-c819b814cd6e","united states","oconee","south carolina",NA,NA,NA,"2a26ed10-e7cd-42ec-80be-8d4c20399e0f",NA,NA,NA,"idigbio",NA,NA,"idigbio",NA,"shortia galacifolia"
"shortia galacifolia","PreservedSpecimen",NA,NA,NA,"024f44f2-a2f5-4daa-b306-c11efb5aa4d0","united states","oconee","south carolina",NA,NA,NA,"2a4b2de8-41a0-4394-b50f-aaff29d9faff",NA,NA,NA,"idigbio",NA,NA,"idigbio",NA,"shortia galacifolia"
